country_1,country_2,run,count
AUT,AUT,10,5
AUT,BEL,10,2
AUT,CHE,10,2
AUT,CZE,10,2
AUT,DEU,10,2
AUT,DNK,10,2
AUT,ESP,10,1
AUT,EST,10,3
AUT,FIN,10,1
AUT,FRA,10,0
AUT,GBR,10,1
AUT,HRV,10,0
AUT,HUN,10,2
AUT,IRL,10,1
AUT,ITA,10,0
AUT,LTU,10,2
AUT,LVA,10,3
AUT,NLD,10,2
AUT,NOR,10,3
AUT,POL,10,2
AUT,PRT,10,1
AUT,SVK,10,2
AUT,SVN,10,2
AUT,SWE,10,1
BEL,AUT,10,2
BEL,BEL,10,7
BEL,CHE,10,3
BEL,CZE,10,2
BEL,DEU,10,6
BEL,DNK,10,3
BEL,ESP,10,3
BEL,EST,10,1
BEL,FIN,10,1
BEL,FRA,10,3
BEL,GBR,10,3
BEL,HRV,10,1
BEL,HUN,10,1
BEL,IRL,10,1
BEL,ITA,10,1
BEL,LTU,10,3
BEL,LVA,10,1
BEL,NLD,10,6
BEL,NOR,10,1
BEL,POL,10,2
BEL,PRT,10,3
BEL,SVK,10,2
BEL,SVN,10,2
BEL,SWE,10,2
CHE,AUT,10,2
CHE,BEL,10,3
CHE,CHE,10,7
CHE,CZE,10,4
CHE,DEU,10,3
CHE,DNK,10,2
CHE,ESP,10,3
CHE,EST,10,1
CHE,FIN,10,0
CHE,FRA,10,3
CHE,GBR,10,1
CHE,HRV,10,2
CHE,HUN,10,2
CHE,IRL,10,2
CHE,ITA,10,2
CHE,LTU,10,2
CHE,LVA,10,1
CHE,NLD,10,3
CHE,NOR,10,1
CHE,POL,10,2
CHE,PRT,10,2
CHE,SVK,10,3
CHE,SVN,10,3
CHE,SWE,10,1
CZE,AUT,10,2
CZE,BEL,10,2
CZE,CHE,10,4
CZE,CZE,10,8
CZE,DEU,10,2
CZE,DNK,10,2
CZE,ESP,10,2
CZE,EST,10,3
CZE,FIN,10,2
CZE,FRA,10,3
CZE,GBR,10,2
CZE,HRV,10,4
CZE,HUN,10,4
CZE,IRL,10,2
CZE,ITA,10,3
CZE,LTU,10,3
CZE,LVA,10,1
CZE,NLD,10,2
CZE,NOR,10,6
CZE,POL,10,3
CZE,PRT,10,1
CZE,SVK,10,7
CZE,SVN,10,7
CZE,SWE,10,4
DEU,AUT,10,2
DEU,BEL,10,6
DEU,CHE,10,3
DEU,CZE,10,2
DEU,DEU,10,8
DEU,DNK,10,4
DEU,ESP,10,2
DEU,EST,10,1
DEU,FIN,10,0
DEU,FRA,10,2
DEU,GBR,10,4
DEU,HRV,10,1
DEU,HUN,10,1
DEU,IRL,10,1
DEU,ITA,10,1
DEU,LTU,10,4
DEU,LVA,10,2
DEU,NLD,10,7
DEU,NOR,10,2
DEU,POL,10,4
DEU,PRT,10,2
DEU,SVK,10,2
DEU,SVN,10,2
DEU,SWE,10,2
DNK,AUT,10,2
DNK,BEL,10,3
DNK,CHE,10,2
DNK,CZE,10,2
DNK,DEU,10,4
DNK,DNK,10,14
DNK,ESP,10,2
DNK,EST,10,2
DNK,FIN,10,1
DNK,FRA,10,1
DNK,GBR,10,5
DNK,HRV,10,1
DNK,HUN,10,1
DNK,IRL,10,3
DNK,ITA,10,1
DNK,LTU,10,5
