,country_1,country_2,run,count
0,IB,IB,10,4
1,IB,NW,10,2
2,IB,N,10,0
3,IB,B,10,2
4,IB,C,10,4
5,IB,E,10,2
6,NW,IB,10,2
7,NW,NW,10,5
8,NW,N,10,2
9,NW,B,10,3
10,NW,C,10,3
11,NW,E,10,3
12,N,IB,10,0
13,N,NW,10,2
14,N,N,10,10
15,N,B,10,6
16,N,C,10,2
17,N,E,10,4
18,B,IB,10,2
19,B,NW,10,3
20,B,N,10,6
21,B,B,10,9
22,B,C,10,2
23,B,E,10,5
24,C,IB,10,4
25,C,NW,10,3
26,C,N,10,2
27,C,B,10,2
28,C,C,10,8
29,C,E,10,3
30,E,IB,10,2
31,E,NW,10,3
32,E,N,10,4
33,E,B,10,5
34,E,C,10,3
35,E,E,10,8
36,IB,IB,11,9
37,IB,NW,11,3
38,IB,N,11,3
39,IB,B,11,2
40,IB,C,11,6
41,IB,E,11,6
42,NW,IB,11,3
43,NW,NW,11,13
44,NW,N,11,4
45,NW,B,11,4
46,NW,C,11,7
47,NW,E,11,6
48,N,IB,11,3
49,N,NW,11,4
50,N,N,11,12
51,N,B,11,6
52,N,C,11,5
53,N,E,11,8
54,B,IB,11,2
55,B,NW,11,4
56,B,N,11,6
57,B,B,11,12
58,B,C,11,5
59,B,E,11,6
60,C,IB,11,6
61,C,NW,11,7
62,C,N,11,5
63,C,B,11,5
64,C,C,11,12
65,C,E,11,8
66,E,IB,11,6
67,E,NW,11,6
68,E,N,11,8
69,E,B,11,6
70,E,C,11,8
71,E,E,11,15
72,IB,IB,12,9
73,IB,NW,12,5
74,IB,N,12,2
75,IB,B,12,1
76,IB,C,12,5
77,IB,E,12,5
78,NW,IB,12,5
79,NW,NW,12,11
80,NW,N,12,1
81,NW,B,12,1
82,NW,C,12,4
83,NW,E,12,4
84,N,IB,12,2
85,N,NW,12,1
86,N,N,12,6
87,N,B,12,5
88,N,C,12,1
89,N,E,12,3
90,B,IB,12,1
91,B,NW,12,1
92,B,N,12,5
93,B,B,12,6
94,B,C,12,2
95,B,E,12,4
96,C,IB,12,5
97,C,NW,12,4
98,C,N,12,1
99,C,B,12,2
100,C,C,12,7
101,C,E,12,5
102,E,IB,12,5
103,E,NW,12,4
104,E,N,12,3
105,E,B,12,4
106,E,C,12,5
107,E,E,12,8
108,IB,IB,13,10
109,IB,NW,13,2
110,IB,N,13,0
111,IB,B,13,1
112,IB,C,13,5
113,IB,E,13,1
114,NW,IB,13,2
115,NW,NW,13,13
116,NW,N,13,3
117,NW,B,13,3
118,NW,C,13,6
119,NW,E,13,4
120,N,IB,13,0
121,N,NW,13,3
122,N,N,13,9
123,N,B,13,5
124,N,C,13,2
125,N,E,13,3
126,B,IB,13,1
127,B,NW,13,3
128,B,N,13,5
129,B,B,13,11
130,B,C,13,2
131,B,E,13,6
132,C,IB,13,5
133,C,NW,13,6
134,C,N,13,2
135,C,B,13,2
136,C,C,13,11
137,C,E,13,3
138,E,IB,13,1
139,E,NW,13,4
140,E,N,13,3
141,E,B,13,6
142,E,C,13,3
143,E,E,13,7
144,IB,IB,14,10
145,IB,NW,14,5
146,IB,N,14,0
147,IB,B,14,2
148,IB,C,14,6
149,IB,E,14,2
150,NW,IB,14,5
151,NW,NW,14,15
152,NW,N,14,2
153,NW,B,14,5
154,NW,C,14,10
155,NW,E,14,6
156,N,IB,14,0
157,N,NW,14,2
158,N,N,14,7
159,N,B,14,7
160,N,C,14,3
161,N,E,14,5
162,B,IB,14,2
163,B,NW,14,5
164,B,N,14,7
165,B,B,14,9
166,B,C,14,10
167,B,E,14,6
168,C,IB,14,6
169,C,NW,14,10
170,C,N,14,3
171,C,B,14,10
172,C,C,14,15
173,C,E,14,12
174,E,IB,14,2
175,E,NW,14,6
176,E,N,14,5
177,E,B,14,6
178,E,C,14,12
179,E,E,14,10
180,IB,IB,15,8
181,IB,NW,15,1
182,IB,N,15,1
183,IB,B,15,3
184,IB,C,15,1
185,IB,E,15,4
186,NW,IB,15,1
187,NW,NW,15,6
188,NW,N,15,0
189,NW,B,15,2
190,NW,C,15,3
191,NW,E,15,3
192,N,IB,15,1
193,N,NW,15,0
194,N,N,15,6
195,N,B,15,3
196,N,C,15,2
197,N,E,15,4
198,B,IB,15,3
199,B,NW,15,2
200,B,N,15,3
201,B,B,15,8
202,B,C,15,7
203,B,E,15,4
204,C,IB,15,1
205,C,NW,15,3
206,C,N,15,2
207,C,B,15,7
208,C,C,15,9
209,C,E,15,7
210,E,IB,15,4
211,E,NW,15,3
212,E,N,15,4
213,E,B,15,4
214,E,C,15,7
215,E,E,15,12
216,IB,IB,16,10
217,IB,NW,16,0
218,IB,N,16,0
219,IB,B,16,1
220,IB,C,16,4
221,IB,E,16,3
